"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
88,"mu_beta","beta",0.518,0.62085936919,0.619717225,0.5468420175,0.6990598485,0.10285936919,0.10285936919,FALSE,1.00014490947622,4524.98718282119,7285.94438576859
88,"mu_lambda","lambda",0.0239,0.0284932599540492,0.0286040765,0.0133818077,0.04273461735,0.00459325995404916,0.00459325995404916,TRUE,1.00041313856529,8208.84956467336,5427.70663204892
88,"mu_delta","delta",0.703,0.589415351054167,0.58563308,0.3131832275,0.8789003515,-0.113584648945833,0.113584648945833,TRUE,1.00030495539353,3087.54075838886,4936.61767397716
88,"mu_eta","eta",-0.477,-0.40297593679,-0.403112855,-0.498770812,-0.3064020775,0.07402406321,0.07402406321,TRUE,1.00192335784796,2820.69054871797,5415.96792802905
89,"mu_alpha","alpha",2.602,2.76975236600833,2.7633327,2.411038295,3.152079985,0.167752366008334,0.167752366008334,TRUE,1.00088091959732,2499.36354778952,4568.37850372401
89,"mu_beta","beta",0.518,0.457578798533333,0.45681198,0.3639553065,0.551070623,-0.0604212014666667,0.0604212014666667,TRUE,1.00111303131982,2267.45140728821,4037.86144454848
89,"mu_lambda","lambda",0.0239,0.0213948875402102,0.0211848985,0.006935817265,0.03646034145,-0.00250511245978975,0.00250511245978975,TRUE,1.00061896921774,4406.89069644129,3518.99405495793
89,"mu_delta","delta",0.703,0.568360491276667,0.570680685,0.347030902,0.7834735295,-0.134639508723333,0.134639508723333,TRUE,1.00031528904968,3103.83454883883,4798.69071182124
89,"mu_eta","eta",-0.477,-0.43338570586,-0.4332441,-0.513564365,-0.35201331,0.04361429414,0.04361429414,TRUE,1.00028252793577,2621.11676170266,4554.50145241091
90,"mu_alpha","alpha",3.697,3.65295670933333,3.6473675,3.389647895,3.937456065,-0.0440432906666666,0.0440432906666666,TRUE,1.00020337070743,11148.5110809563,9091.99566407646
90,"mu_beta","beta",0.518,0.545339079983333,0.54380107,0.4615605205,0.6333631485,0.0273390799833333,0.0273390799833333,TRUE,1.00086373356826,6823.5098445122,8494.86771249683
90,"mu_lambda","lambda",0.0239,0.0305052062885,0.030692242,0.01742607465,0.0432057337,0.0066052062885,0.0066052062885,TRUE,1.00001521439089,8423.25005580776,6731.05353886644
90,"mu_delta","delta",0.703,0.754673239445,0.752564415,0.655383866,0.8596428355,0.051673239445,0.051673239445,TRUE,1.00168155659364,3047.90299344282,5674.46849492689
90,"mu_eta","eta",-0.477,-0.6078261903625,-0.60737496,-0.6976935475,-0.518229753,-0.1308261903625,0.1308261903625,FALSE,1.00149140686322,3531.66603155673,6000.06336462248
91,"mu_alpha","alpha",1.628,1.62282734243333,1.617088,1.36520039,1.895962785,-0.00517265756666663,0.00517265756666663,TRUE,1.00037022257659,5845.98975013597,7338.04117043642
91,"mu_beta","beta",0.185,0.193299372927367,0.19278258,0.1054223925,0.284810585,0.00829937292736668,0.00829937292736668,TRUE,1.00031473024916,4601.38897313334,6567.88308370605
91,"mu_lambda","lambda",0.0512,0.0654263814015833,0.065279074,0.04446956325,0.0869121503,0.0142263814015833,0.0142263814015833,TRUE,1.00086423374674,13384.8916582352,8047.83390120935
91,"mu_delta","delta",0.703,0.669994012160833,0.67502857,0.5444820905,0.771476449,-0.0330059878391666,0.0330059878391666,TRUE,1.00030042732902,8022.79409127955,7658.79137071707
91,"mu_eta","eta",-0.477,-0.597491288866667,-0.59694923,-0.7115459505,-0.4864562105,-0.120491288866667,0.120491288866667,FALSE,1.0001370450331,8009.51365048942,8132.86575265206
92,"mu_alpha","alpha",2.602,2.55453533100833,2.5528098,2.27969789,2.83830315,-0.0474646689916667,0.0474646689916667,TRUE,1.00006870201426,6280.68836945028,8767.58629752033
92,"mu_beta","beta",0.185,0.149534855006492,0.14915344,0.0690342305,0.2315828445,-0.0354651449935083,0.0354651449935083,TRUE,1.00028483814027,4045.5546438203,6500.21149819318
92,"mu_lambda","lambda",0.0512,0.06758239361475,0.0673045005,0.0438531073,0.0918112154,0.01638239361475,0.01638239361475,TRUE,1.00025428373302,8078.81059254002,8672.21446602167
92,"mu_delta","delta",0.703,0.679410325724167,0.68154309,0.5337337735,0.8174127255,-0.0235896742758333,0.0235896742758333,TRUE,1.0007278517862,5226.45400328255,6685.5712785642
92,"mu_eta","eta",-0.477,-0.493726718708333,-0.4948584,-0.608160615,-0.376853276,-0.0167267187083334,0.0167267187083334,TRUE,1.00119194473812,4419.6654159125,6360.76480597877
93,"mu_alpha","alpha",3.697,3.51203254390833,3.5035664,3.179351805,3.8705685,-0.184967456091667,0.184967456091667,TRUE,1.000629430059,4760.7453833397,6335.84992618006
93,"mu_beta","beta",0.185,0.184713644970955,0.18429497,0.1022200975,0.2670032365,-0.000286355029045005,0.000286355029045005,TRUE,1.00083800856383,3848.47645432086,5231.33714664037
93,"mu_lambda","lambda",0.0512,0.0525455416775833,0.052496443,0.0344651177,0.07052413555,0.00134554167758333,0.00134554167758333,TRUE,1.00059995268265,6512.73415182926,7728.93011689872
93,"mu_delta","delta",0.703,0.779992693768333,0.782271695,0.6794316565,0.8734285385,0.0769926937683334,0.0769926937683334,TRUE,1.00083469676066,4393.21367631389,5677.16371995264
93,"mu_eta","eta",-0.477,-0.573216802419167,-0.57293693,-0.651546914,-0.494046218,-0.0962168024191666,0.0962168024191666,FALSE,1.00039877952143,4129.14487067442,6788.58778155071
94,"mu_alpha","alpha",1.628,1.5487390961,1.545688,1.326298095,1.779810255,-0.0792609038999998,0.0792609038999998,TRUE,1.00104609782146,3942.0555523382,6624.0733167806
94,"mu_beta","beta",0.352,0.489652210775,0.48935563,0.4273909995,0.553174616,0.137652210775,0.137652210775,FALSE,0.99992920729315,5889.20439065735,8107.47215199137
94,"mu_lambda","lambda",0.0512,0.0423136952402167,0.0426310075,0.0260814242,0.0575338686,-0.00888630475978334,0.00888630475978334,TRUE,1.00066736075511,9792.90649855277,5460.30867264309
94,"mu_delta","delta",0.703,0.811095280941667,0.81504766,0.703571685,0.906579324,0.108095280941667,0.108095280941667,FALSE,1.00036074459985,5429.41444669756,6294.74578248379
94,"mu_eta","eta",-0.477,-0.526077143014167,-0.526779585,-0.6189213425,-0.4305755225,-0.0490771430141667,0.0490771430141667,TRUE,1.00104530430942,4191.71662934635,6228.16169503328
95,"mu_alpha","alpha",2.602,2.43271007343333,2.42907935,2.1760753,2.70284447,-0.169289926566667,0.169289926566667,TRUE,1.00023660883389,5774.15301993463,6938.97532780469
