participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
10,lambda,0.09679251709493,0.0948114535,0.03341547418933592,0.036605641925,0.166214671,1.0006417294186527,3877.0595244519195,2583.031239693287
10,delta,0.94549348247025,0.94833974,0.11695910174593836,0.69496738075,1.1615796225000001,1.0014109511224478,3482.2835339961803,3199.6021072342464
10,eta,-0.2206386335141275,-0.22340739,0.12679290364277496,-0.46957156299999997,0.028490741700000023,1.0031212764856758,3481.446455761453,3329.6422554543906
11,alpha,4.162611815575,4.10521765,0.778365965551938,2.8016354199999998,5.8386207375,1.0008156801929897,3451.9158760345863,1972.1185404985433
11,beta,0.5853237197095,0.58480197,0.19748863453140653,0.21045639049999998,0.9809688544999999,1.0002561992678058,6010.741457300636,2856.9573390853698
11,lambda,0.0790780121938225,0.077393178000000007,0.03508231214038776,0.016502332975,0.1539962865,1.0021468249630512,4709.317179554587,2565.461368413347
11,delta,1.1932691326675,1.22543895,0.2238439740882564,0.70656590075,1.63089979,1.001610636038154,1659.73638120705,1889.5511262106381
11,eta,0.020068745759989504,0.015309442999999999,0.22599948970536243,-0.45959910275,0.496421598,1.0001828626304954,2486.954469605922,1925.2487667987878
12,alpha,3.6832454011,3.6392919,0.7786313252757597,2.3267892574999998,5.4279811575000005,1.0005550790940552,4796.296188818029,2363.7516927592806
12,beta,0.760580917175,0.75446283,0.17576292689891976,0.442877608,1.126668415,1.0010845120136782,6072.422298203772,3161.6036038074158
12,lambda,0.099973541444485,0.0988779365,0.03605317094457644,0.03238121397500001,0.17276186675000002,1.0018925700545256,4303.405977279252,2929.998402178203
12,delta,1.1920625646625,1.17785455,0.16998209613749407,0.91260020675,1.5675726075000003,1.003493581953434,2593.2237698929202,2033.9317681251152
12,eta,-0.09493294214712,-0.0987597585,0.09462317194030934,-0.2754220415,0.10098424349999999,1.0024148494813103,3256.9850710417204,3001.562188698669
13,alpha,5.211019558625,5.312015199999999,0.6329878676093446,3.7923661449999995,5.9985924475,1.0019867998797878,3450.802123023596,2899.0522826125534
13,beta,-0.008634203623157753,-0.008389596499999999,0.15000394439112436,-0.29714608449999996,0.2778003750000001,1.0009337732121197,5626.636979762505,3042.237567123645
13,lambda,0.052038419206655,0.0502577875,0.027596813973611217,0.006234435934999999,0.11163999825000001,1.000039578930261,5006.653451082548,2599.6227995781114
13,delta,1.1088745419625,1.0892924499999999,0.1200009526955053,0.93371021125,1.4008347525000002,1.002045095822248,3634.4873456995188,3105.99488289702
13,eta,0.1034335708212825,0.0964832905,0.1312249391175764,-0.127144943,0.3683567797500001,1.0014455204837045,3734.0599900148036,3297.165570331048
14,alpha,5.58795914025,5.720771900000001,0.4192902895876322,4.546444974999999,5.999761565,1.0003655800102877,3831.5592312680096,2649.7902932215648
14,beta,-0.16421963966804148,-0.16433214,0.14462511313947132,-0.4487625,0.12669754375000003,1.000317809725602,5322.467772685668,3044.638074718862
14,lambda,0.0428451407468055,0.0399458125,0.02594680571269051,0.0028210544675,0.10063427675000003,1.0007794462389223,5469.701055056319,2949.7871230994833
14,delta,1.360864294835,1.39607945,0.22440831223551663,0.95776849625,1.7605716300000003,1.006717628007241,609.5513156612975,1925.7999958219423
14,eta,0.23454212554706,0.22107587,0.15710454041996252,-0.032790761975,0.592336469,1.000771316249966,2570.1576885635013,3090.844683978072
15,alpha,3.389706692275,3.3456397,0.6867139495865309,2.1772188475,4.8057374025,1.0034848587330765,5564.891864938301,2662.8082632225237
15,beta,1.072312795345,1.06260075,0.19296592567149665,0.71696961125,1.4712054975,1.000283968712871,5404.075236792807,2696.939498164916
15,lambda,0.0446387161728346,0.0428134005,0.023974076234965294,0.004541581057500001,0.095388815275,1.001829699162083,4245.712948392515,2589.66526160063
15,delta,1.0442436748,1.0342179,0.06624744320123856,0.940921734,1.1978647375000002,1.0035710539726812,2929.7558807391006,2233.889842969892
15,eta,0.40204960822375,0.381142225,0.1407047145329247,0.18571107274999998,0.7563799150000001,1.0061343479725369,2238.1499766811967,2729.0473387033876
16,alpha,0.304755776677596,0.264379105,0.2357596634292184,0.002876405445,0.8532626492500002,1.001920075100981,4134.704141673323,2819.046426025161
16,beta,0.7164900191975,0.707555185,0.14688630746498457,0.45329918,1.025853405,1.0005565389736786,4375.340738907103,3496.8488789280327
16,lambda,0.09494907108310853,0.0892888935,0.05286000284976158,0.010775345600000001,0.21025413775000001,0.9994656010043282,4228.0705462951955,2800.8491626343002
16,delta,1.04972445923,1.0408639,0.04967327911895047,0.97463127775,1.1640286575,1.0009552914104345,3208.463137363739,3186.009422751189
16,eta,0.439586227223045,0.42728586,0.19455181829510143,0.094187985675,0.8676692994999999,1.0039903014067226,3066.647897874657,2192.5893638614502
17,alpha,2.83190077094,2.8096678,0.6223961332380268,1.706966405,4.161457492500001,0.9994630861804684,4635.234957060775,3318.5194012650973
17,beta,0.3017260724126125,0.29951340000000004,0.1505344964695804,0.011854986175000002,0.60137191225,1.0019881267269342,5993.411635228297,3017.5360214961756
