"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7604.5,"red",1,6,1,"js-scroll-button-response",145,1,2,48,50,55,55,50,55,65,"blueredblueredredred","1  0  1  0  0  0",1,3,1,1,0,3,"blue","red","blue","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12281.6999999881,"blue",0,6,0,"js-scroll-button-response",148,1,2,49,65,50,65,65,50,50,"blueredredblueblueblue","1  0  0  1  1  1",1,3,1,1,0,3,"blue","red","red","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8358.90000000596,"red",1,6,1,"js-scroll-button-response",151,1,2,50,50,50,50,65,55,65,"blueblueredredredred","1  1  0  0  0  0",1,3,1,1,0,3,"blue","blue","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7171.60000000894,"red",1,6,1,"js-scroll-button-response",154,1,2,51,50,50,50,65,65,55,"redblueredredredred","0  1  0  0  0  0",1,3,1,1,0,3,"red","blue","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7592.30000001192,"blue",0,6,0,"js-scroll-button-response",157,1,2,52,55,65,55,55,55,65,"blueblueblueredredblue","1  1  1  0  0  1",1,3,1,1,0,3,"blue","blue","blue","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,14913.6000000089,"blue",0,6,0,"js-scroll-button-response",160,1,2,53,65,50,50,65,55,65,"bluebluebluebluebluered","1  1  1  1  1  0",1,3,1,1,0,3,"blue","blue","blue","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6972.29999999702,"blue",0,6,0,"js-scroll-button-response",163,1,2,54,55,50,50,50,65,65,"redblueblueredblueblue","0  1  1  0  1  1",1,3,1,1,0,3,"red","blue","blue","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13831.099999994,"blue",0,6,0,"js-scroll-button-response",166,1,2,55,55,50,50,65,65,55,"blueblueredbluebluered","1  1  0  1  1  0",1,3,1,1,0,3,"blue","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6943.20000000298,"blue",1,6,0,"js-scroll-button-response",169,0,2,56,55,55,65,65,50,50,"redredredredredred","0  0  0  0  0  0",1,3,1,1,0,3,"red","red","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13686.799999997,"blue",0,6,0,"js-scroll-button-response",172,1,2,57,50,55,55,55,65,50,"redbluebluebluebluered","0  1  1  1  1  0",1,3,1,1,0,3,"red","blue","blue","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9108.40000000596,"red",1,6,1,"js-scroll-button-response",175,1,2,58,65,65,50,65,65,50,"redredredredredblue","0  0  0  0  0  1",1,3,1,1,0,3,"red","red","red","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,14672.1000000089,"blue",1,6,0,"js-scroll-button-response",178,0,2,59,55,65,65,55,65,65,"redblueblueredbluered","0  1  1  0  1  0",1,3,1,1,0,3,"red","blue","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9432.69999998808,"blue",0,6,0,"js-scroll-button-response",181,1,2,60,65,55,65,50,55,65,"blueblueredblueblueblue","1  1  0  1  1  1",1,3,1,1,0,3,"blue","blue","red","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7333,"blue",0,6,0,"js-scroll-button-response",184,1,2,61,65,50,65,65,50,65,"blueblueredredredblue","1  1  0  0  0  1",1,3,1,1,0,3,"blue","blue","red","red","red","blue"
